location,bhk,total_sqft,bath,price_lakh,house_type,building_status,city,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,Apartment,,Bengaluru,
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1440.0,2.0,62.0,Apartment,,Bengaluru,
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,Apartment,,Bengaluru,
Kothanur,2 BHK,1200.0,2.0,51.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1170.0,2.0,38.0,Apartment,,Bengaluru,
Old Airport Road,4 BHK,2732.0,4.0,204.0,Apartment,,Bengaluru,
Rajaji Nagar,4 BHK,3300.0,4.0,600.0,Apartment,,Bengaluru,
Marathahalli,3 BHK,1310.0,3.0,63.25,Apartment,,Bengaluru,
Gandhi Bazar,6 Bedroom,1020.0,6.0,370.0,Apartment,,Bengaluru,
Whitefield,3 BHK,1800.0,2.0,70.0,Apartment,,Bengaluru,
Whitefield,4 Bedroom,2785.0,5.0,295.0,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,Apartment,,Bengaluru,
Gottigere,2 BHK,1100.0,2.0,40.0,Apartment,,Bengaluru,
Sarjapur,3 Bedroom,2250.0,3.0,148.0,Apartment,,Bengaluru,
Mysore Road,2 BHK,1175.0,2.0,73.5,Apartment,,Bengaluru,
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,Apartment,,Bengaluru,
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,Apartment,,Bengaluru,
Manayata Tech Park,2 BHK,1100.0,2.0,48.0,Apartment,,Bengaluru,
Kengeri,1 BHK,600.0,1.0,15.0,Apartment,,Bengaluru,
Binny Pete,3 BHK,1755.0,3.0,122.0,Apartment,,Bengaluru,
Thanisandra,4 Bedroom,2800.0,5.0,380.0,Apartment,,Bengaluru,
Bellandur,3 BHK,1767.0,3.0,103.0,Apartment,,Bengaluru,
 Thanisandra,1 RK,510.0,1.0,25.25,Apartment,,Bengaluru,
Mangammanapalya,3 BHK,1250.0,3.0,56.0,Apartment,,Bengaluru,
Electronic City,2 BHK,660.0,1.0,23.1,Apartment,,Bengaluru,
Whitefield,3 BHK,1610.0,3.0,81.0,Apartment,,Bengaluru,
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,Apartment,,Bengaluru,
Electronic City,3 BHK,1025.0,2.0,47.0,Apartment,,Bengaluru,
Yelahanka,4 BHK,21002850.0,4.0,186.0,Apartment,,Bengaluru,
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,Apartment,,Bengaluru,
Hebbal,3 BHK,1760.0,2.0,123.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,Apartment,,Bengaluru,
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,700.0,2.0,36.0,Apartment,,Bengaluru,
