iter	Passed	Remaining
0	151	30158
1	157	15621
2	163	10767
3	170	8332
4	175	6862
5	182	5894
6	188	5194
7	194	4665
8	200	4255
9	206	3927
10	212	3659
11	219	3431
12	225	3241
13	231	3076
14	237	2932
15	243	2802
16	249	2690
17	256	2590
18	262	2500
19	268	2417
20	274	2343
21	280	2271
22	286	2207
23	293	2149
24	298	2092
25	305	2042
26	311	1994
27	317	1950
28	323	1908
29	329	1868
30	335	1831
31	341	1794
32	347	1760
33	354	1729
34	360	1699
35	366	1670
36	372	1642
37	378	1615
38	384	1588
39	390	1563
40	396	1539
41	403	1517
42	409	1495
43	415	1474
44	422	1454
45	428	1434
46	434	1414
47	440	1395
48	446	1377
49	453	1359
50	459	1343
51	466	1327
52	473	1312
53	479	1296
54	485	1280
55	491	1265
56	498	1249
57	504	1235
58	510	1221
59	516	1206
60	523	1192
61	529	1177
62	535	1163
63	541	1150
64	547	1136
65	553	1123
66	559	1111
67	566	1098
68	572	1086
69	578	1074
70	584	1062
71	591	1050
72	597	1039
73	603	1027
74	609	1016
75	616	1005
76	622	993
77	628	982
78	634	971
79	640	960
80	646	949
81	652	938
82	658	928
83	664	917
84	670	907
85	676	897
86	683	887
87	689	877
88	696	868
89	702	858
90	708	848
91	714	838
92	720	828
93	726	819
94	732	809
95	738	800
96	745	791
97	751	782
98	757	773
99	764	764
100	771	756
101	778	748
102	785	739
103	791	730
104	797	721
105	804	712
106	810	704
107	816	695
108	822	687
109	829	678
110	835	669
111	841	661
112	847	652
113	853	643
114	859	635
115	865	626
116	871	618
117	877	610
118	883	601
119	890	593
120	896	585
121	902	577
122	909	569
123	916	561
124	923	553
125	929	546
126	936	538
127	942	530
128	948	521
129	954	513
130	960	506
131	967	498
132	973	490
133	980	482
134	987	475
135	993	467
136	1000	460
137	1007	452
138	1013	444
139	1020	437
140	1026	429
141	1032	421
142	1039	414
143	1045	406
144	1050	398
145	1057	391
146	1063	383
147	1069	375
148	1075	368
149	1081	360
150	1088	353
151	1094	345
152	1100	338
153	1106	330
154	1112	323
155	1119	315
156	1125	308
157	1131	300
158	1137	293
159	1143	285
160	1149	278
161	1156	271
162	1162	263
163	1168	256
164	1174	249
165	1180	241
166	1186	234
167	1192	227
168	1198	219
169	1204	212
170	1211	205
171	1217	198
172	1224	191
173	1230	183
174	1236	176
175	1242	169
176	1248	162
177	1254	155
178	1260	147
179	1266	140
180	1272	133
181	1278	126
182	1284	119
183	1290	112
184	1297	105
185	1303	98
186	1309	91
187	1315	83
188	1321	76
189	1327	69
190	1333	62
191	1339	55
192	1345	48
193	1351	41
194	1358	34
195	1364	27
196	1370	20
197	1376	13
198	1382	6
199	1388	0
