region,latitude,longitude,ndvi,ndbi,nightlight
Andheri West,19.1172495,72.833968,0.8161795849216433,-0.3617021276595745,39.34916687011719
Naigaon East,19.0138034,72.8463224,0.33311730395333766,-0.022619935371613224,46.02333450317383
Borivali West,19.2298129,72.8471376,0.736823975198071,-0.2427902390929258,39.41666793823242
Panvel,19.0463363,72.9088873,0.28066693132195314,-0.029027113237639554,44.3408317565918
Mira Road East,19.2948873,72.8678432,0.12755102040816327,0.06497431248111211,45.81083297729492
Parel,19.0084268,72.842505,0.2709832134292566,0.0005387931034482759,43.54249954223633
Boisar,19.1903507,72.8855597,0.8113879003558719,-0.2606811145510836,6.231666564941406
Santacruz East,19.0781806,72.8677752,0.3491547464239272,0.15478615071283094,39.67166519165039
Badlapur East,19.1532664,73.2412085,0.2034412955465587,0.13338192419825073,21.981666564941406
Fort,18.9332665,72.8345146,0.09817495280050346,0.016069918240766846,52.72916793823242
Badlapur West,19.1621666,73.2557173,0.14135074064775294,0.02173445233483968,19.606666564941406
Khopoli,18.7963261,73.2884961,0.0843558282208589,0.041030857917938285,20.41083335876465
Chembur,19.054818,72.8979713,0.639221045439016,-0.2890918860827512,43.54083251953125
Jogeshwari West,19.136394,72.8373817,0.4173998044965787,-0.07327905255366396,42.163333892822266
Vasai,19.3508311,72.8938078,0.18153846153846154,0.023965141612200435,5.389166831970215
Kalamboli,19.0235062,73.1106092,0.2484076433121019,0.15218246165945734,24.6825008392334
Powai,19.1187195,72.9073476,0.8028091434866428,-0.3032052558232132,39.320831298828125
Ghansoli,19.1163797,73.0069928,0.08368396446937822,0.08919449901768173,36.13666534423828
Thane West,19.042855,73.0226449,0.17009093971034017,0.11894496576211007,47.95500183105469
Vikhroli,19.1114795,72.928021,0.11952923869069511,0.2,29.71666717529297
Bhiwandi,19.3025562,73.0588072,0.15873015873015872,0.08623087621696801,34.61916732788086
Airoli,19.1585147,72.9994019,0.11367050575863796,0.10068742418115649,45.93916702270508
Ambernath West,19.0781806,72.8677752,0.3491547464239272,0.15478615071283094,39.67166519165039
Borivali East,19.2267228,72.8619328,0.5681374463100352,-0.08775731310942579,43.23666763305664
Virar,19.5091723,72.8458201,0.8264411027568922,-0.3380766582510902,1.6375000476837158
Kharghar,19.025773,73.0591845,0.15921908893709327,0.12508185985592665,26.77083396911621
Ulwe,18.9707794,73.0215336,0.23685165034457745,-0.01156926727973895,31.29166603088379
Kamothe,19.0164338,73.0806552,0.6077828981054787,-0.10272168568920105,12.466667175292969
Jogeshwari East,19.1429467,72.8551559,-0.060485475527258255,0.21911691747974202,42.69916534423828
Mulund West,19.1719717,72.9511956,0.5399644760213144,-0.03368107302533532,30.773332595825195
Palghar,19.3183904,72.8991697,0.1224373576309795,0.10347964521264498,7.499166488647461
Goregaon West,19.1633281,72.8411995,0.2900932918702799,0.08506616257088846,37.5091667175293
Taloja,19.0754826,73.0921912,0.3155510820332159,0.11269517990495587,27.70083236694336
Rasayani,18.8978821,73.1803608,0.279243796770382,0.026670662271501347,6.849999904632568
Ghatkopar East,19.0833438,72.9123246,0.26306620209059234,0.10438542310067943,42.0625
Ulhasnagar,19.2236329,73.1671515,0.14908034849951599,0.09665144596651445,29.72249984741211
