city,location,region,bhk,total_sqft,property_type,availability,price
Mumbai,Lak And Hanware The Residency Tower,Andheri West,3.0,685.0,Apartment,Ready to move,250.0
Mumbai,Radheya Sai Enclave Building No 2,Naigaon East,2.0,640.0,Apartment,Under Construction,52.51
Mumbai,Romell Serene,Borivali West,2.0,610.0,Apartment,Under Construction,173.0
Mumbai,Soundlines Codename Urban Rainforest,Panvel,2.0,876.0,Apartment,Under Construction,59.98
Mumbai,Origin Oriana,Mira Road East,2.0,659.0,Apartment,Under Construction,94.11
Mumbai,Bhoomi Simana Wing A Phase 1,Parel,2.0,826.0,Apartment,Under Construction,330.0
Mumbai,Agami Estancia,Boisar,5.0,2921.0,Villa,Under Construction,199.0
Mumbai,Sanghvi Infenia,Santacruz East,3.0,778.0,Apartment,Under Construction,289.0
Mumbai,Shubh Shreeji Heights,Badlapur East,1.0,396.0,Apartment,Ready to move,29.84
Mumbai,Aplite Greenstone Heritage,Fort,2.0,671.0,Apartment,Under Construction,272.0
Mumbai,A Plus Golden Corner,Badlapur West,1.0,502.0,Studio Apartment,Under Construction,16.56
Mumbai,Unimont Imperia,Khopoli,2.0,950.0,Apartment,Under Construction,41.75
Mumbai,Aayush Gulmohar,Chembur,3.0,753.0,Apartment,Under Construction,177.0
Mumbai,Roswalt Zaiden,Jogeshwari West,2.0,605.0,Apartment,Under Construction,155.0
Mumbai,Angel Falcon Emerald Dunlin,Vasai,1.0,557.0,Apartment,Under Construction,58.5
Mumbai,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,2.0,635.0,Apartment,Under Construction,83.0
Mumbai,Godrej Urban Park,Powai,1.0,450.0,Apartment,Under Construction,139.0
Mumbai,Aurum Q Island R4 AND R5,Ghansoli,3.0,1259.0,Apartment,Ready to move,280.0
Mumbai,Raymond Raymond Realty TenX Habitat,Thane West,2.0,555.0,Apartment,Under Construction,142.0
Mumbai,Asshna Seabliss,Andheri West,3.0,1274.0,Apartment,Under Construction,420.0
Mumbai,Mayfair The View,Vikhroli,2.0,582.0,Apartment,Under Construction,149.0
Mumbai,Shakti Shree Siddhivinayak II,Bhiwandi,1.0,483.0,Apartment,Under Construction,37.52
Mumbai,Vardhan Heights,Chembur,1.0,320.0,Apartment,Under Construction,69.9
Mumbai,Puraniks Unicorn Phase 1,Thane West,1.0,396.0,Apartment,Under Construction,42.99
Mumbai,Pyramid Elements,Airoli,2.0,638.0,Apartment,Under Construction,126.0
Mumbai,Tharwani Meghna Montana,Ambernath West,2.0,1047.0,Apartment,Under Construction,49.58
Mumbai,Dev Drashti Empire Phase 1,Bhiwandi,2.0,1080.0,Apartment,Ready to move,57.24
Mumbai,B G Shirke Monte Verita West Tower,Borivali East,2.0,555.0,Apartment,Under Construction,131.0
Mumbai,Jindal Avenue,Panvel,1.0,261.0,Apartment,Under Construction,47.5
Mumbai,Walekar Homes,Ambernath West,2.0,594.0,Apartment,Ready to move,34.5
Mumbai,Sri Garden Avenue K,Virar,1.0,445.0,Apartment,Under Construction,34.14
Mumbai,Anant Residency,Panvel,1.0,409.0,Apartment,Under Construction,32.0
Mumbai,Ravechi Shreeji Divine,Kharghar,4.0,1874.0,Apartment,Under Construction,270.0
Mumbai,Shree ND Garden,Ulwe,1.0,450.0,Apartment,Under Construction,54.99
Mumbai,Neelkanth Auris,Panvel,3.0,859.0,Apartment,Under Construction,137.0
Mumbai,Shree Krupa Nandanvan Homes Building B,Thane West,2.0,720.0,Apartment,Under Construction,131.0
Mumbai,Tajjodin Taj Regency,Kamothe,1.0,404.0,Apartment,Under Construction,58.0
Mumbai,Avant Heritage III,Jogeshwari East,2.0,604.0,Apartment,Under Construction,144.0
Mumbai,Kalpataru Kalpataru Elitus,Mulund West,3.0,1116.0,Apartment,Under Construction,285.0
Mumbai,VBHC 47 Rowland Park,Palghar,1.0,701.0,Independent House,Under Construction,30.99
Mumbai,Sunteck City First Impression,Goregaon West,3.0,902.0,Apartment,Under Construction,259.0
Mumbai,Siddhivinayak Siddhivinayak Gaurav,Taloja,2.0,990.0,Apartment,Under Construction,45.45
Mumbai,A M Balaji Heights,Rasayani,1.0,313.0,Apartment,Under Construction,27.56
Mumbai,Sai Shrushti Vatika,Thane West,1.0,409.0,Apartment,Under Construction,30.15
Mumbai,Piramal S Class Homes,Mulund West,2.0,560.0,Apartment,Under Construction,132.0
Mumbai,Rishabraj Vicinia,Ghatkopar East,1.0,448.0,Apartment,Under Construction,134.0
Mumbai,Qualitas QN Greens Phase 1,Taloja,1.0,386.0,Apartment,Ready to move,27.96
Mumbai,Precious Group Precious Meadows,Ulhasnagar,2.0,539.0,Apartment,Under Construction,46.21
Mumbai,Today Imperia,Ulwe,3.0,1625.0,Apartment,Ready to move,145.0
Mumbai,Aplite Greenstone Heritage,Fort,2.0,739.0,Apartment,Under Construction,295.0
