Unnamed: 0,property_type,location,price_lakh,rate_per_sqft,total_sqft,status,city
0,3 BHK Apartment,Nizampet,108.0,6000,1805.0,Under Construction,Hyderabad
1,3 BHK Apartment,Bachupally,85.8,5500,1560.0,Under Construction,Hyderabad
2,2 BHK Apartment,Dundigal,55.64,5200,1070.0,Under Construction,Hyderabad
3,2 BHK Apartment,Pocharam,60.48,4999,1210.0,Under Construction,Hyderabad
4,3 BHK Apartment,Kollur,113.0,5999,1900.0,Under Construction,Hyderabad
5,3 BHK Apartment,Kukatpally,124.0,8399,1480.0,Under Construction,Hyderabad
6,Residential Plot,Choutuppal,48.99,2039,2403.0,New,Hyderabad
7,3 BHK Apartment,Jeedimetla,101.0,6073,1675.0,Under Construction,Hyderabad
8,3 BHK Apartment,Uppal Kalan,107.0,6299,1705.0,Under Construction,Hyderabad
9,3 BHK Apartment,Rajendra Nagar,108.0,6000,1811.0,Under Construction,Hyderabad
10,3 BHK Apartment,Yapral,104.0,6000,1735.0,Ready to move,Hyderabad
11,2 BHK Apartment,Kompally,66.82,4500,1485.0,Ready to move,Hyderabad
12,4 BHK Villa,Patighanpur,688.0,14999,4591.0,Under Construction,Hyderabad
13,3 BHK Apartment,Tellapur,134.0,7299,1845.0,Under Construction,Hyderabad
14,2 BHK Apartment,Tellapur,94.17,6299,1495.0,Under Construction,Hyderabad
15,2 BHK Apartment,Madeenaguda,82.24,6400,1285.0,Under Construction,Hyderabad
16,4 BHK Apartment,Shamshabad,227.0,6500,3500.0,Under Construction,Hyderabad
17,4 BHK Apartment,Puppalaguda,404.0,10891,3715.0,Under Construction,Hyderabad
18,3 BHK Apartment,Mallampet,81.25,5000,1625.0,Under Construction,Hyderabad
19,3 BHK Apartment,Tellapur,106.0,6499,1643.0,Under Construction,Hyderabad
20,3 BHK Apartment,Meerpet,102.0,6000,1711.0,Under Construction,Hyderabad
21,3 BHK Apartment,Pocharam,100.0,5199,1942.0,Under Construction,Hyderabad
22,2 BHK Apartment,Mallapur,55.33,4999,1107.0,Under Construction,Hyderabad
23,3 BHK Apartment,Tukkuguda,82.65,4800,1722.0,Under Construction,Hyderabad
24,3 BHK Apartment,Kondapur,166.0,8688,1915.0,Under Construction,Hyderabad
25,2 BHK Apartment,Chandanagar,86.12,6500,1325.0,Under Construction,Hyderabad
26,2 BHK Apartment,Nizampet,52.52,5500,955.0,Under Construction,Hyderabad
27,2 BHK Apartment,Bachupally,64.24,5500,1168.0,Under Construction,Hyderabad
28,3 BHK Apartment,Dundigal,58.03,5200,1116.0,Under Construction,Hyderabad
29,2 BHK Apartment,Pocharam,60.48,4999,1210.0,Under Construction,Hyderabad
30,3 BHK Apartment,Kollur,145.0,5999,2425.0,Under Construction,Hyderabad
31,2 BHK Apartment,Kukatpally,104.0,8399,1250.0,Under Construction,Hyderabad
32,Residential Plot,Choutuppal,97.81,2039,4797.0,New,Hyderabad
33,3 BHK Apartment,Saroor Nagar,146.0,7400,1983.0,Under Construction,Hyderabad
34,3 BHK Apartment,Uppal Kalan,85.03,6299,1350.0,Under Construction,Hyderabad
35,3 BHK Apartment,Rajendra Nagar,118.0,6000,1980.0,Under Construction,Hyderabad
36,3 BHK Apartment,Yapral,114.0,6000,1910.0,Ready to move,Hyderabad
37,3 BHK Apartment,Kompally,75.69,4500,1682.0,Ready to move,Hyderabad
38,4 BHK Villa,Patighanpur,974.0,14999,6500.0,Under Construction,Hyderabad
39,3 BHK Apartment,Tellapur,154.0,7299,2115.0,Under Construction,Hyderabad
40,3 BHK Apartment,Sainikpuri,70.67,5889,1200.0,Ready to move,Hyderabad
41,3 BHK Apartment,Chandanagar,149.0,8399,1785.0,Under Construction,Hyderabad
42,3 BHK Apartment,Chandanagar,134.0,8399,1600.0,Under Construction,Hyderabad
43,4 BHK Villa,Kollur,433.0,11136,3888.0,Under Construction,Hyderabad
44,4 BHK Villa,Kollur,496.0,11133,4455.0,Under Construction,Hyderabad
45,5 BHK Villa,Kollur,569.0,11132,5111.0,Under Construction,Hyderabad
46,2 BHK Apartment,Bolarum,60.76,4900,1240.0,Ready to move,Hyderabad
47,3 BHK Apartment,Bolarum,78.41,4900,1601.0,Ready to move,Hyderabad
48,3 BHK Apartment,Bolarum,68.61,4900,1400.0,Ready to move,Hyderabad
49,2 BHK Apartment,Bolarum,58.8,4900,1200.0,Ready to move,Hyderabad
50,3 BHK Apartment,Bolarum,76.93,4900,1570.0,Ready to move,Hyderabad
51,3 BHK Apartment,Bolarum,77.43,4900,1581.0,Ready to move,Hyderabad
52,3 BHK Apartment,Bolarum,64.69,4900,1321.0,Ready to move,Hyderabad
53,2 BHK Apartment,Bolarum,56.36,4900,1150.0,Ready to move,Hyderabad
54,2 BHK Apartment,Bolarum,57.83,4900,1180.0,Ready to move,Hyderabad
55,2 BHK Apartment,Bolarum,53.9,4900,1100.0,Ready to move,Hyderabad
56,2 BHK Apartment,Bolarum,57.34,4900,1170.0,Ready to move,Hyderabad
57,3 BHK Apartment,Kollur,85.78,5999,1430.0,Under Construction,Hyderabad
58,3 BHK Apartment,Kollur,106.0,5999,1775.0,Under Construction,Hyderabad
59,2 BHK Apartment,Kollur,77.68,5999,1295.0,Under Construction,Hyderabad
60,3 BHK Apartment,Mallampet,79.75,5000,1595.0,Under Construction,Hyderabad
61,2 BHK Apartment,Mallampet,63.25,5000,1265.0,Under Construction,Hyderabad
62,2 BHK Apartment,Bachupally,67.76,5600,1210.0,Under Construction,Hyderabad
63,2 BHK Apartment,Bachupally,66.07,5604,1180.0,Under Construction,Hyderabad
64,2 BHK Apartment,Bachupally,69.16,5600,1235.0,Under Construction,Hyderabad
65,3 BHK Apartment,Bachupally,83.43,5603,1490.0,Under Construction,Hyderabad
66,3 BHK Apartment,Jeedimetla,108.0,5950,1830.0,Ready to move,Hyderabad
67,3 BHK Apartment,Jeedimetla,108.0,5950,1830.0,Ready to move,Hyderabad
68,3 BHK Apartment,Jeedimetla,123.0,5950,2080.0,Ready to move,Hyderabad
69,3 BHK Apartment,Jeedimetla,123.0,5950,2080.0,Ready to move,Hyderabad
70,3 BHK Apartment,Jeedimetla,148.0,5950,2495.0,Ready to move,Hyderabad
71,3 BHK Apartment,Jeedimetla,148.0,5950,2495.0,Ready to move,Hyderabad
72,4 BHK Apartment,Jeedimetla,180.0,5950,3030.0,Ready to move,Hyderabad
73,4 BHK Apartment,Jeedimetla,180.0,5950,3030.0,Ready to move,Hyderabad
74,3 BHK Apartment,Jeedimetla,113.0,5950,1915.0,Ready to move,Hyderabad
75,3 BHK Apartment,Jeedimetla,113.0,5950,1915.0,Ready to move,Hyderabad
76,3 BHK Apartment,Jeedimetla,154.0,5950,2590.0,Ready to move,Hyderabad
77,3 BHK Apartment,Jeedimetla,154.0,5950,2590.0,Ready to move,Hyderabad
78,4 BHK Apartment,Jeedimetla,187.0,5950,3150.0,Ready to move,Hyderabad
79,4 BHK Apartment,Jeedimetla,187.0,5950,3150.0,Ready to move,Hyderabad
80,4 BHK Villa,Gagillapur,157.0,7215,2176.0,Under Construction,Hyderabad
81,4 BHK Villa,Gagillapur,171.0,7193,2377.0,Under Construction,Hyderabad
82,4 BHK Villa,Gagillapur,190.0,7210,2635.0,Under Construction,Hyderabad
83,4 BHK Villa,Gagillapur,284.0,7188,3951.0,Under Construction,Hyderabad
84,4 BHK Villa,Gagillapur,236.0,7188,3283.0,Under Construction,Hyderabad
85,4 BHK Villa,Gagillapur,329.0,7205,4566.0,Under Construction,Hyderabad
86,3 BHK Apartment,Manikonda,128.0,7000,1841.0,Ready to move,Hyderabad
87,2 BHK Apartment,Manikonda,101.0,7000,1449.0,Ready to move,Hyderabad
88,2 BHK Apartment,Manikonda,92.12,7000,1316.0,Ready to move,Hyderabad
89,2 BHK Apartment,Manikonda,101.0,7000,1446.0,Ready to move,Hyderabad
90,2 BHK Apartment,Manikonda,90.72,7000,1296.0,Ready to move,Hyderabad
91,3 BHK Apartment,Manikonda,135.0,7000,1932.0,Ready to move,Hyderabad
92,3 BHK Apartment,Manikonda,131.0,7000,1874.0,Ready to move,Hyderabad
93,3 BHK Apartment,Manikonda,117.0,7000,1676.0,Ready to move,Hyderabad
94,2 BHK Apartment,Manikonda,108.0,7000,1551.0,Ready to move,Hyderabad
95,3 BHK Apartment,Manikonda,134.0,7000,1927.0,Ready to move,Hyderabad
96,3 BHK Apartment,Manikonda,134.0,7000,1926.0,Ready to move,Hyderabad
97,3 BHK Apartment,Manikonda,121.0,7000,1732.0,Ready to move,Hyderabad
98,4 BHK Apartment,Jubilee Hills,451.0,13999,3225.0,Under Construction,Hyderabad
99,2 BHK Apartment,Bachupally,66.35,5604,1185.0,Ready to move,Hyderabad
100,3 BHK Independent House,Dammaiguda,260.0,8125,3200.0,Ready to move,Hyderabad
101,3 BHK Independent House,Dammaiguda,260.0,8125,3200.0,Ready to move,Hyderabad
102,2 BHK Independent House,Boduppal,60.0,5000,1200.0,Ready to move,Hyderabad
103,3 BHK Independent Floor,Amberpet,70.0,5833,1200.0,Ready to move,Hyderabad
104,2 BHK Independent House,Boduppal,60.0,5000,1200.0,Ready to move,Hyderabad
105,2 BHK Apartment,Kukatpally,38.0,5654,672.0,Ready to move,Hyderabad
106,3 BHK Independent House,Dammaiguda,260.0,8125,3200.0,Ready to move,Hyderabad
107,2 BHK Independent House,Boduppal,60.0,5000,1200.0,Ready to move,Hyderabad
108,5 BHK Independent House,Old Bowenpally,200.0,7142,2800.0,Ready to move,Hyderabad
109,2 BHK Apartment,Kukatpally,38.0,5654,672.0,Ready to move,Hyderabad
110,5 BHK Independent House,Sainikpuri,135.0,5400,2500.0,Ready to move,Hyderabad
111,10 BHK Independent House,Gachibowli,590.0,6555,9000.0,Ready to move,Hyderabad
112,2 BHK Apartment,Kukatpally,38.0,5654,672.0,Ready to move,Hyderabad
113,2 BHK Independent House,Boduppal,60.0,5000,1200.0,Ready to move,Hyderabad
114,3 BHK Independent House,Dammaiguda,260.0,8125,3200.0,Ready to move,Hyderabad
115,5 BHK Independent House,Old Bowenpally,200.0,7142,2800.0,Ready to move,Hyderabad
116,5 BHK Independent House,Sainikpuri,135.0,5400,2500.0,Ready to move,Hyderabad
117,10 BHK Independent House,Gachibowli,590.0,6555,9000.0,Ready to move,Hyderabad
118,3 BHK Independent Floor,Amberpet,70.0,5833,1200.0,Ready to move,Hyderabad
119,3 BHK Independent House,Dammaiguda,260.0,8125,3200.0,Ready to move,Hyderabad
120,2 BHK Apartment,AS Rao Nagar,44.0,4382,1004.0,Ready to move,Hyderabad
121,2 BHK Apartment,AS Rao Nagar,44.0,4382,1004.0,Ready to move,Hyderabad
122,3 BHK Apartment,Kapra,72.0,5034,1430.0,Ready to move,Hyderabad
123,2 BHK Apartment,Chengicherla,52.0,4333,1200.0,Ready to move,Hyderabad
124,Residential Plot,Bhanur,46.2,3333,1386.0,Resale,Hyderabad
125,Residential Plot,Adibatla,28.0,1555,1800.0,Resale,Hyderabad
126,3 BHK Apartment,Adibatla,78.0,5200,1500.0,Ready to move,Hyderabad
127,2 BHK Apartment,Tellapur,42.0,3333,1260.0,Ready to move,Hyderabad
128,2 BHK Apartment,Kothapet,47.0,5000,940.0,Ready to move,Hyderabad
129,2 BHK Independent House,Rampally,90.0,4090,2200.0,Ready to move,Hyderabad
130,Residential Plot,Sadashivpet,18.0,661,2720.0,Resale,Hyderabad
131,7 BHK Independent House,Bairagiguda,265.0,4732,5600.0,Ready to move,Hyderabad
132,7 BHK Independent House,Bairagiguda,235.0,4351,5400.0,Ready to move,Hyderabad
133,Residential Plot,Kukatpally,129.0,3611,3600.0,Resale,Hyderabad
134,Residential Plot,Bahadurpally,90.0,3333,2700.0,Resale,Hyderabad
135,3 BHK Apartment,Kompally,80.0,5555,1440.0,Ready to move,Hyderabad
136,3 BHK Apartment,East Marredpally,160.0,10847,1475.0,Ready to move,Hyderabad
137,3 BHK Apartment,East Marredpally,160.0,10847,1475.0,Ready to move,Hyderabad
138,2 BHK Independent House,Bandlaguda Jagir,130.0,12584,1033.0,Ready to move,Hyderabad
139,2 BHK Independent House,Boduppal,150.0,12345,1215.0,Ready to move,Hyderabad
140,2 BHK Apartment,Isnapur,42.37,4507,940.0,Ready to move,Hyderabad
141,2 BHK Apartment,Shankarpalli,41.9,4457,940.0,Ready to move,Hyderabad
142,2 BHK Apartment,Isnapur,41.9,4457,940.0,Ready to move,Hyderabad
143,2 BHK Apartment,Isnapur,41.9,4457,940.0,Ready to move,Hyderabad
144,2 BHK Apartment,Isnapur,42.37,4507,940.0,Ready to move,Hyderabad
145,2 BHK Apartment,Shankarpalli,41.9,4457,940.0,Ready to move,Hyderabad
146,2 BHK Apartment,Isnapur,41.9,4457,940.0,Ready to move,Hyderabad
147,2 BHK Apartment,Isnapur,41.9,4457,940.0,Ready to move,Hyderabad
148,2 BHK Apartment,Isnapur,42.37,4507,940.0,Ready to move,Hyderabad
149,2 BHK Apartment,Shankarpalli,41.9,4457,940.0,Ready to move,Hyderabad
150,2 BHK Apartment,Isnapur,42.37,4507,940.0,Ready to move,Hyderabad
151,2 BHK Apartment,Isnapur,42.37,4507,940.0,Ready to move,Hyderabad
152,2 BHK Apartment,muthangi,42.37,4507,940.0,Ready to move,Hyderabad
153,4 BHK Apartment,Rai Durg,666.0,13365,4983.0,Under Construction,Hyderabad
154,4 BHK Apartment,Rai Durg,719.0,11847,6069.0,Under Construction,Hyderabad
155,4 BHK Apartment,Rai Durg,586.0,11826,4955.0,Under Construction,Hyderabad
156,3 BHK Villa,Taramatipet,167.0,6700,2500.0,Under Construction,Hyderabad
157,3 BHK Villa,Bacharam,167.0,6700,2500.0,Under Construction,Hyderabad
158,2 BHK Apartment,Dundigal,47.33,4466,1060.0,Under Construction,Hyderabad
159,3 BHK Apartment,Dundigal,66.99,4466,1500.0,Under Construction,Hyderabad
160,Residential Plot,Sadashivpet,9.31,1055,882.0,New,Hyderabad
161,3 BHK Independent House,Nagaram,75.0,4285,1750.0,Ready to move,Hyderabad
162,2 BHK Independent House,Nagaram,49.0,5444,900.0,Ready to move,Hyderabad
163,2 BHK Independent House,Nagaram,70.0,4000,1750.0,Under Construction,Hyderabad
164,3 BHK Independent House,Nagaram,68.0,3820,1780.0,Ready to move,Hyderabad
165,4 BHK Independent House,Toli Chowki,650.0,18055,3600.0,Ready to move,Hyderabad
166,3 BHK Villa,Bacharam,235.0,6714,3500.0,Ready to move,Hyderabad
167,3 BHK Apartment,Kondapur,210.0,10500,2000.0,Under Construction,Hyderabad
168,3 BHK Apartment,Kondapur,203.0,10500,1935.0,Under Construction,Hyderabad
169,3 BHK Apartment,Kondapur,253.0,10500,2410.0,Under Construction,Hyderabad
170,3 BHK Apartment,Kondapur,247.00000000000003,10500,2360.0,Under Construction,Hyderabad
171,3 BHK Apartment,Kondapur,284.0,10500,2710.0,Under Construction,Hyderabad
172,3 BHK Apartment,Kondapur,250.0,10500,2390.0,Under Construction,Hyderabad
173,3 BHK Apartment,Kondapur,216.0,10500,2060.0,Under Construction,Hyderabad
174,2 BHK Apartment,Madhapur,100.0,7692,1300.0,Ready to move,Hyderabad
175,Residential Plot,Thimmapur,180.0,2621,6867.0,Resale,Hyderabad
176,Residential Plot,Moti Nagar,18.2,2600,700.0,New,Hyderabad
177,Residential Plot,Moti Nagar,26.0,2600,1000.0,Resale,Hyderabad
178,4 BHK Apartment,Kokapet,303.0,10000,3030.0,Under Construction,Hyderabad
179,4 BHK Apartment,Puppalaguda,610.0,11200,5454.0,Under Construction,Hyderabad
180,Residential Plot,Pocharam Near Muthangi,67.5,2500,2700.0,New,Hyderabad
181,Residential Plot,Pocharam Near Muthangi,40.5,2500,1620.0,New,Hyderabad
182,Residential Plot,Pocharam Near Muthangi,58.5,2500,2340.0,New,Hyderabad
183,Residential Plot,Adibatla,41.25,3055,1350.0,New,Hyderabad
184,Residential Plot,Adibatla,40.65,27100,150.0,New,Hyderabad
185,Residential Plot,Adibatla,40.5,3000,1350.0,New,Hyderabad
