city,region,latitude,longitude
Mumbai,Andheri West,19.1172495,72.833968
Mumbai,Naigaon East,19.0138034,72.8463224
Mumbai,Borivali West,19.2298129,72.8471376
Mumbai,Panvel,19.0463363,72.9088873
Mumbai,Mira Road East,19.2948873,72.8678432
Mumbai,Parel,19.0084268,72.842505
Mumbai,Boisar,19.1903507,72.8855597
Mumbai,Santacruz East,19.0781806,72.8677752
Mumbai,Badlapur East,19.1532664,73.2412085
Mumbai,Fort,18.9332665,72.8345146
Mumbai,Badlapur West,19.1621666,73.2557173
Mumbai,Khopoli,18.7963261,73.2884961
Mumbai,Chembur,19.054818,72.8979713
Mumbai,Jogeshwari West,19.136394,72.8373817
Mumbai,Vasai,19.3508311,72.8938078
Mumbai,Kalamboli,19.0235062,73.1106092
Mumbai,Powai,19.1187195,72.9073476
Mumbai,Ghansoli,19.1163797,73.0069928
Mumbai,Thane West,19.042855,73.0226449
Mumbai,Vikhroli,19.1114795,72.928021
Mumbai,Bhiwandi,19.3025562,73.0588072
Mumbai,Airoli,19.1585147,72.9994019
Mumbai,Ambernath West,19.0781806,72.8677752
Mumbai,Borivali East,19.2267228,72.8619328
Mumbai,Virar,19.5091723,72.8458201
Mumbai,Kharghar,19.025773,73.0591845
Mumbai,Ulwe,18.9707794,73.0215336
Mumbai,Kamothe,19.0164338,73.0806552
Mumbai,Jogeshwari East,19.1429467,72.8551559
Mumbai,Mulund West,19.1719717,72.9511956
Mumbai,Palghar,19.3183904,72.8991697
Mumbai,Goregaon West,19.1633281,72.8411995
Mumbai,Taloja,19.0754826,73.0921912
Mumbai,Rasayani,18.8978821,73.1803608
Mumbai,Ghatkopar East,19.0833438,72.9123246
Mumbai,Ulhasnagar,19.2236329,73.1671515
Mumbai,Dombivali,19.1967698,73.0747522
Mumbai,Kewale,19.0781806,72.8677752
Mumbai,Nala Sopara,19.4203577,72.8194857
Mumbai,Goregaon East,19.1692623,72.8552548
Mumbai,Kandivali East,19.2051958,72.8626165
Mumbai,Kurla,19.0655397,72.8795636
Mumbai,Andheri East,19.1158835,72.854202
Mumbai,Dahisar,19.2493572,72.8596302
Mumbai,Karanjade,19.0781806,72.8677752
Mumbai,Mahim,19.0423145,72.8398344
Mumbai,Vashi,19.0632481,72.9987966
Mumbai,Malad West,19.1852851,72.8358611
Mumbai,Girgaon,18.9543165,72.8179082
Mumbai,Dadar West,19.0238887,72.8382236
Mumbai,Bandra West,19.0583358,72.8302669
Mumbai,Kandivali West,19.2055321,72.8399273
Mumbai,Kalyan West,19.0713588,72.8303908
Mumbai,Neral,19.0274308,73.3184369
Mumbai,Kalyan East,19.0511604,72.9293364
Mumbai,Karjat,18.9769108,73.1386442
Mumbai,Ghatkopar West,19.0897439,72.9048035
Mumbai,Dronagiri,18.8813327,72.9647315
Mumbai,Mulund East,19.1704719,72.9610447
Mumbai,Navade,19.053846,73.1030296
Mumbai,Ambivali,19.1331195,72.8251336
Mumbai,Agripada,18.97504,72.8250555
Mumbai,Owale,19.0781806,72.8677752
Mumbai,Ville Parle East,19.0781806,72.8677752
Mumbai,Kalwa,19.1960909,72.9876602
Mumbai,Khar,19.0682411,72.8400412
Mumbai,Santacruz West,19.0844004,72.8372899
Mumbai,Nerul,19.0335938,73.018164
Mumbai,Kanjurmarg,19.124102,72.9385562
Mumbai,Vangani,19.0943323,73.3008946
Mumbai,Bhayandar East,19.3101847,72.8526988
Mumbai,Seawoods,19.0213683,73.018939
Mumbai,Sewri,18.9987796,72.8544218
Mumbai,Ambernath East,19.0781806,72.8677752
Mumbai,Nilje Gaon,19.0781806,72.8677752
Mumbai,Prabhadevi,19.0074717,72.8358965
Mumbai,Matunga,19.0274356,72.8501467
Mumbai,Lower Parel,18.99568,72.8302756
Mumbai,Titwala,19.2948464,73.2051012
Mumbai,Shil Phata,19.1108804,73.0031362
Mumbai,Koper Khairane,19.0781806,72.8677752
Mumbai,Napeansea Road,19.0781806,72.8677752
Mumbai,Bhandup West,19.1462636,72.9339461
Mumbai,Koproli,18.8830094,72.9895799
Mumbai,Anjurdive,19.0781806,72.8677752
Mumbai,Wadala,19.0269192,72.8759337
Mumbai,Sion,19.0465213,72.8632834
Mumbai,Taloje,19.079148,73.0878581
Mumbai,Cuffe Parade,18.9129204,72.8201377
Mumbai,Bhandup East,19.1378308,72.9361964
Mumbai,Byculla,18.9766219,72.8327936
Mumbai,Tardeo,18.9722351,72.8203423
Mumbai,Vasai West,19.385748,72.829894
Mumbai,Vasai east,19.4036749,72.8257906
Mumbai,Malad East,19.1860219,72.8563181
Mumbai,Colaba,18.915091,72.8259691
Mumbai,Thane East,19.0428922,73.0226767
Mumbai,Nalasopara East,19.4174424,72.8175975
Mumbai,Deonar,19.0475502,72.9051895
Mumbai,Nahur East,19.1550738,72.9469187
Mumbai,Sanpada,19.0659774,73.0095329
Mumbai,Sector 21 Kamothe,19.0173837,73.0954838
Mumbai,Saphale,19.5771316,72.8218812
Mumbai,Kasheli,19.2362651,73.0147061
Mumbai,Juinagar,19.0559456,73.0182495
Mumbai,Worli,19.0117388,72.8178706
