location,min_price_sqft,max_price_sqft,avg_price_sqft,price_trend,rent_2bhk,rent_3bhk,rent_4bhk,rent_5bhk,rent_others,city
Adarsh Nagar,6205.0,7395.0,6800.0,-,-,,-,,-,Pune
Aher,3315.0,3868.0,3591.5,-,-,Rs.,"7,395 - 9,614",,-,Pune
Akurdi,4845.0,5695.0,5270.0,-1.61%,"6,866 - 8,338",Rs.,"10,748 - 12,898",,-,Pune
Alandi,2550.0,2932.0,2741.0,0%,"3,944 - 4,930",,-,,-,Pune
Ambedkar Nagar,4845.0,5482.0,5163.5,-,-,,-,,-,Pune
Ambe Gaon,4165.0,5100.0,4632.5,-2.83%,"5,507 - 7,009",Rs.,"8,892 - 9,700",,-,Pune
Ambegaon Bk,4505.0,5270.0,4887.5,-1.71%,"5,797 - 6,851",Rs.,"8,920 - 10,542",,-,Pune
Ambegaon Budruk,3995.0,4718.0,4356.5,0.98%,-,Rs.,"8,527 - 10,853",,-,Pune
Ambegaon Pathar,3102.0,3868.0,3485.0,7.79%,-,,-,,-,Pune
Anand Nagar,4632.0,6205.0,5418.5,-,"6,885 - 8,262",Rs.,"9,960 - 12,095",,-,Pune
Anand Park Nagar,4802.0,5398.0,5100.0,-,"9,104 - 11,632",Rs.,"11,519 - 12,239",,-,Pune
Anthon Nagar,4165.0,4632.0,4398.5,-,-,Rs.,"7,480 - 8,840",,-,Pune
Ashoka Nagar,5312.0,5822.0,5567.0,-2.21%,-,Rs.,"14,191 - 16,083",,-,Pune
Ashok Nagar,3230.0,3910.0,3570.0,-,-,,-,,-,Pune
Aundh,7310.0,8755.0,8032.5,0%,"9,775 - 11,730",Rs.,"15,300 - 17,000",Rs.,"20,400 - 25,500",Pune
Aundh Annexe,6248.0,6588.0,6418.0,-7.36%,-,Rs.,"12,947 - 14,470",,-,Pune
Azad Nagar,4888.0,5525.0,5206.5,-,-,,-,,-,Pune
B.T Kawade Road,5738.0,6418.0,6078.0,-3.42%,-,Rs.,"13,559 - 15,254",,-,Pune
Bakori,3188.0,3612.0,3400.0,-,"3,556 - 4,001",Rs.,"5,073 - 6,341",,-,Pune
Balewadi,5568.0,6120.0,5844.0,2.26%,"8,160 - 10,200",Rs.,"13,681 - 15,505",Rs.,"16,022 - 19,720",Pune
Balewadi Phata,5908.0,6460.0,6184.0,0.7%,-,Rs.,"12,257 - 14,884",,-,Pune
